,A,B,C,D,E,F,HDT_0.455©,UTS(Mpa),Modulus(Gpa),EAB%,Viscosity_75C(cp),R value,log_HDT,log_viscosity
89,35.72995115,20.0,10.0,18.0,16.27004885,0.0,75.6,53.12,1.98,11.435,6.6937,2.799999316,4.3254562831854875,1.9011667855314953
90,36.91208276,16.85257449,10.0,22.17092657,14.06441619,0.0,93.7,57.405,2.12,5.215,9.2625,3.201878128,4.540098189244376,2.2259739906222054
91,32.0604006,16.85205619,13.32396202,25.76358118,12.0,0.0,97.5,51.58,2.07,4.26,8.6932,3.167011112,4.579852378003801,2.16254111084941
107,52.0,0.0,5.0,19.85,10.15,13.0,121.8,56.29,1.87,11.35,21.749,4.735300895,4.802380355275797,3.0795677794662235
108,51.08,0.0,5.0,20.76,10.16,13.0,120.8,53.46,1.7,9.33,21.624,4.741070772,4.794136285500715,3.0738038089741466
109,50.71,2.5,5.42,12.58,15.87,12.92,95.0,46.37,1.86,9.67,22.579,3.04252813,4.553876891600541,3.117020270761191
110,50.59,0.0,5.2,14.78,16.43,13.0,94.4,43.95,2.24,6.83,21.932,3.007926518,4.547541073151455,3.087946757541802
111,47.63,0.0,5.2,17.53,16.64,13.0,91.2,41.75,1.77,12.9,20.687,2.99004432,4.513054897080286,3.029505483660912
112,51.0,0.0,5.2,14.39,16.41,13.0,93.7,45.73,1.89,15.18,22.505,3.008710931,4.540098189244376,3.113737506744896
113,36.0,0.0,6.0,30.36,14.95,12.69,96.0,41.96,1.89,14.03,16.359,3.309656642,4.564348191467836,2.7947782046120344
114,40.81,0.0,10.08,22.59,13.86,12.66,95.2,44.66,1.82,12.95,17.013,2.920440322,4.55597994179732,2.833977757700001
115,38.31,0.1,17.35,22.67,8.85,12.72,108.4,47.97,2.07,11.2,15.384,2.895804061,4.685828089005546,2.733328008286479
116,38.03,0.0,15.94,24.06,9.43,12.54,108.9,45.23,1.71,7.45,15.23,2.976207714,4.690430029938915,2.7232671669070703
117,42.11,0.0,7.77,22.73,15.4,11.99,80.9,39.84,1.71,12.42,16.273,2.963545316,4.393213824064446,2.7895072926784774
118,48.57,0.0,6.32,18.29,16.9,9.92,81.9,43.5,1.83,9.67,16.029,2.933801996,4.405498990859024,2.774399581643744
119,45.43,3.0,5.2,19.66,16.9,9.81,80.5,44.14,2.15,13.41,16.536,3.055803001,4.388257184424518,2.805539822379467
37,38.98491,8.978443,17.03942,9.525584,14.2963,11.17534,73.58487849453404,43.97667,2.156667,9.48,17.4,2.159955992,4.298439549388703,2.856470206220483
38,52.0,0.0,22.0,12.0,6.0,8.0,134.1111534412728,60.24167,2.17,7.43,13.0,2.925936438,4.898668959396271,2.5649493574615367
81,42.13,11.1,10.0,23.0,13.77,0.0,107.2806556698634,57.34,1.97,8.37,9.0461,3.314730597,4.675448350717082,2.202333725604322
82,29.0,12.0,21.68,28.32,9.0,0.0,106.185561403298,56.43,2.23,7.41,7.0345,2.800390631,4.66518814291045,1.950826614835131
92,32.0,15.73871849,10.37969718,25.85811982,16.02346451,0.0,75.3,48.77,2.14,6.4,10.986077601477918,2.881690194,4.321480134805848,2.396628798565417
93,41.81475776,14.45635284,10.0,21.7288894,12.0,0.0,112.3,39.63,1.91,2.42,14.76651361898819,3.615489263,4.721173861744398,2.692362023926664
94,32.0,20.0,10.0,26.0,12.0,0.0,111.4,53.82,2.37,8.2,13.682042188480162,3.588459364,4.713127327493184,2.616084183836476
95,39.61570589,14.0,13.72012468,20.66416943,12.0,0.0,108.6,60.27,2.1,5.73,11.84795024212848,3.114485905,4.687671407499835,2.4721548772713717
96,34.76918714,15.52537299,15.36408718,22.3413527,12.0,0.0,86.9,51.24,2.13,5.45,10.23226095525859,2.933440298,4.464758032271346,2.3255455677881685
97,38.49422065,14.0,11.27125948,24.23451987,12.0,0.0,114.1,54.96,1.93,6.54,12.482670024757645,3.449503653,4.73707525686803,2.5243412843499433
98,42.64006758,14.0,11.57676055,18.0,13.78317186,0.0,101.0,58.14,1.96,6.32,13.8772743598685,3.059382918,4.61512051684126,2.630252564027799
99,39.8605775,14.0,10.0,19.44063058,16.69879192,0.0,77.0,53.945,2.14,7.91,13.179861164227336,2.799999444,4.343805421853684,2.5786899951969784
100,37.46038132,20.0,12.18961868,18.0,12.35,0.0,104.0,54.21,2.15,5.0,14.97254157675269,3.166326465,4.6443908991413725,2.706217962027074
102,32.0,14.0,10.0,31.57864275,12.42135725,0.0,111.6,54.93,1.95,5.92,10.629837942496431,3.604021749,4.71492104994721,2.363664946940979
104,35.7558973,17.46203656,12.10327521,20.90065155,13.77813938,0.0,96.9,53.0,2.12,4.95,12.683598168454697,2.988378445,4.5736795188967205,2.5403096759830635
105,32.40170056,20.0,12.92793321,22.67036623,12.0,0.0,101.5,57.32,2.34,5.575,12.482644357468944,3.165660522,4.620058798481842,2.5243392281139747
106,34.89623323,14.0,12.38131006,23.52114076,15.20131596,0.0,83.2,50.27,2.11,10.29,10.47976928698995,2.799999476,4.421247347827163,2.3494466640503755
